# Export File Created with QBlade CE v2.0.9.6_beta windows on 23.02.2026 at 11:31:54
NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40
Radius [m]	Axial Induction Factor [-]	Radius [m]	Axial Induction Factor [-]	Radius [m]	Axial Induction Factor [-]
1.5303390e+00	1.4488158e-01	1.5303390e+00	1.4624712e-01	1.5303390e+00	1.4762220e-01
1.6515756e+00	1.3446724e-01	1.6515756e+00	1.3578562e-01	1.6515756e+00	1.3711800e-01
1.8935699e+00	1.1766400e-01	1.8935699e+00	1.1891162e-01	1.8935699e+00	1.2018260e-01
2.2553675e+00	9.9269733e-02	2.2553675e+00	1.0045402e-01	2.2553675e+00	1.0167855e-01
2.7355399e+00	8.2581498e-02	2.7355399e+00	8.3740078e-02	2.7355399e+00	8.4964588e-02
3.3321927e+00	6.9307163e-02	3.3321927e+00	7.0506275e-02	3.3321927e+00	7.1805432e-02
4.0429707e+00	5.9173193e-02	4.0429707e+00	6.0484301e-02	4.0429707e+00	6.1934218e-02
4.8650689e+00	5.1315617e-02	4.8650689e+00	5.2798022e-02	4.8650689e+00	5.4457009e-02
5.7952428e+00	4.4326182e-02	5.7952428e+00	4.5991633e-02	5.7952428e+00	4.7861308e-02
6.8298221e+00	3.5182405e-02	6.8298221e+00	3.6873750e-02	6.8298221e+00	3.8766582e-02
7.9647226e+00	2.7570352e-02	7.9647226e+00	2.9225485e-02	7.9647226e+00	3.1063046e-02
9.1954660e+00	6.7539178e-02	9.1954660e+00	7.4098267e-02	9.1954660e+00	8.1194773e-02
1.0517196e+01	1.3369931e-01	1.0517196e+01	1.5009606e-01	1.0517196e+01	1.6944364e-01
1.1924694e+01	1.9589652e-01	1.1924694e+01	2.2676457e-01	1.1924694e+01	2.5380173e-01
1.3412408e+01	1.7951679e-01	1.3412408e+01	2.1280675e-01	1.3412408e+01	2.6010388e-01
1.4974464e+01	1.6661750e-01	1.4974464e+01	2.1005696e-01	1.4974464e+01	2.7550307e-01
1.6604700e+01	1.6130343e-01	1.6604700e+01	2.3213218e-01	1.6604700e+01	2.7627760e-01
1.8296680e+01	1.6073357e-01	1.8296680e+01	2.4265732e-01	1.8296680e+01	2.6661491e-01
2.0043728e+01	1.6413386e-01	2.0043728e+01	2.4055859e-01	2.0043728e+01	2.5887462e-01
2.1838949e+01	1.5905069e-01	2.1838949e+01	2.3386633e-01	2.1838949e+01	2.5476912e-01
2.3675257e+01	1.4692263e-01	2.3675257e+01	2.3061919e-01	2.3675257e+01	2.5290972e-01
2.5545404e+01	1.4436269e-01	2.5545404e+01	2.3108321e-01	2.5545404e+01	2.5493300e-01
2.7442015e+01	1.4301209e-01	2.7442015e+01	2.3281075e-01	2.7442015e+01	2.6243755e-01
2.9357597e+01	1.4295514e-01	2.9357597e+01	2.3501436e-01	2.9357597e+01	2.6760790e-01
3.1284595e+01	1.4932397e-01	3.1284595e+01	2.3665914e-01	3.1284595e+01	2.7013806e-01
3.3215405e+01	1.5735927e-01	3.3215405e+01	2.3887770e-01	3.3215405e+01	2.7578112e-01
3.5142403e+01	1.6002175e-01	3.5142403e+01	2.4318077e-01	3.5142403e+01	2.8458127e-01
3.7057987e+01	1.6074315e-01	3.7057987e+01	2.4726598e-01	3.7057987e+01	2.9296634e-01
3.8954594e+01	1.6485098e-01	3.8954594e+01	2.4991940e-01	3.8954594e+01	2.9931509e-01
4.0824745e+01	1.7051896e-01	4.0824745e+01	2.5045362e-01	4.0824745e+01	3.0311024e-01
4.2661053e+01	1.7612319e-01	4.2661053e+01	2.4252696e-01	4.2661053e+01	2.9654282e-01
4.4456272e+01	1.7784162e-01	4.4456272e+01	2.3383011e-01	4.4456272e+01	2.8975368e-01
4.6203320e+01	1.7700610e-01	4.6203320e+01	2.3335980e-01	4.6203320e+01	2.9159805e-01
4.7895298e+01	1.7570987e-01	4.7895298e+01	2.3270689e-01	4.7895298e+01	2.9295754e-01
4.9525536e+01	1.7422332e-01	4.9525536e+01	2.3181243e-01	4.9525536e+01	2.9399043e-01
5.1087593e+01	1.7255731e-01	5.1087593e+01	2.3066010e-01	5.1087593e+01	2.9462844e-01
5.2575306e+01	1.7075540e-01	5.2575306e+01	2.2930311e-01	5.2575306e+01	2.9492834e-01
5.3982803e+01	1.6884701e-01	5.3982803e+01	2.2776078e-01	5.3982803e+01	2.9488140e-01
5.5304535e+01	1.6686261e-01	5.5304535e+01	2.2605400e-01	5.5304535e+01	2.9448479e-01
5.6535278e+01	1.6388106e-01	5.6535278e+01	2.2283940e-01	5.6535278e+01	2.9180011e-01
5.7670177e+01	1.5978417e-01	5.7670177e+01	2.1792211e-01	5.7670177e+01	2.8649750e-01
5.8704758e+01	1.5357843e-01	5.8704758e+01	2.0985790e-01	5.8704758e+01	2.7649781e-01
5.9634930e+01	1.4149997e-01	5.9634930e+01	1.9327660e-01	5.9634930e+01	2.5381172e-01
6.0457031e+01	1.2646215e-01	6.0457031e+01	1.7262338e-01	6.0457031e+01	2.2526692e-01
6.1167809e+01	1.1348304e-01	6.1167809e+01	1.5480368e-01	6.1167809e+01	2.0112032e-01
6.1764462e+01	1.0113434e-01	6.1764462e+01	1.3784580e-01	6.1764462e+01	1.7840724e-01
6.2244633e+01	8.9421548e-02	6.2244633e+01	1.2178075e-01	6.2244633e+01	1.5707278e-01
6.2606430e+01	8.0278486e-02	6.2606430e+01	1.0926261e-01	6.2606430e+01	1.4057152e-01
6.2848423e+01	7.4192688e-02	6.2848423e+01	1.0092750e-01	6.2848423e+01	1.2964407e-01
6.2969662e+01	7.1145654e-02	6.2969662e+01	9.6760079e-02	6.2969662e+01	1.2420717e-01
