# Export File Created with QBlade CE v2.0.9.6_beta windows on 10.02.2026 at 09:12:19
NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40
Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]
1.5303390e+00	6.8608093e+01	1.5303390e+00	6.7004211e+01	1.5303390e+00	6.5410294e+01	1.5303390e+00	6.3828644e+01	1.5303390e+00	6.2261398e+01	1.5303390e+00	6.0710556e+01
1.6515756e+00	6.8080444e+01	1.6515756e+00	6.6376617e+01	1.6515756e+00	6.4685760e+01	1.6515756e+00	6.3010437e+01	1.6515756e+00	6.1353180e+01	1.6515756e+00	5.9716248e+01
1.8935699e+00	6.7025848e+01	1.8935699e+00	6.5124481e+01	1.8935699e+00	6.3242966e+01	1.8935699e+00	6.1384766e+01	1.8935699e+00	5.9553040e+01	1.8935699e+00	5.7750671e+01
2.2553675e+00	6.5452240e+01	2.2553675e+00	6.3262054e+01	2.2553675e+00	6.1104828e+01	2.2553675e+00	5.8985413e+01	2.2553675e+00	5.6908081e+01	2.2553675e+00	5.4876434e+01
2.7355399e+00	6.3377686e+01	2.7355399e+00	6.0819153e+01	2.7355399e+00	5.8316498e+01	2.7355399e+00	5.5876434e+01	2.7355399e+00	5.3504501e+01	2.7355399e+00	5.1205063e+01
3.3321927e+00	6.0828781e+01	3.3321927e+00	5.7840073e+01	3.3321927e+00	5.4944611e+01	3.3321927e+00	5.2151184e+01	3.3321927e+00	4.9466095e+01	3.3321927e+00	4.6893433e+01
4.0429707e+00	5.7859100e+01	4.0429707e+00	5.4405350e+01	4.0429707e+00	5.1101730e+01	4.0429707e+00	4.7957809e+01	4.0429707e+00	4.4978668e+01	4.0429707e+00	4.2165527e+01
4.8650689e+00	5.4544983e+01	4.8650689e+00	5.0624878e+01	4.8650689e+00	4.6934616e+01	4.8650689e+00	4.3480865e+01	4.8650689e+00	4.0262985e+01	4.8650689e+00	3.7274887e+01
5.7952428e+00	5.0992355e+01	5.7952428e+00	4.6641647e+01	5.7952428e+00	4.2622650e+01	5.7952428e+00	3.8932236e+01	5.7952428e+00	3.5557434e+01	5.7952428e+00	3.2479050e+01
6.8298221e+00	4.7365906e+01	6.8298221e+00	4.2660278e+01	6.8298221e+00	3.8403732e+01	6.8298221e+00	3.4574005e+01	6.8298221e+00	3.1138351e+01	6.8298221e+00	2.8059418e+01
