# Export File Created with QBlade CE v2.0.9.6_beta windows on 11.02.2026 at 09:46:30
NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40
Radius [m]	Axial Induction Factor [-]	Radius [m]	Axial Induction Factor [-]
1.5303390e+00	1.4762220e-01	1.5303390e+00	1.4900905e-01
1.6515756e+00	1.3711800e-01	1.6515756e+00	1.3846670e-01
1.8935699e+00	1.2018260e-01	1.8935699e+00	1.2148078e-01
2.2553675e+00	1.0167855e-01	2.2553675e+00	1.0294861e-01
2.7355399e+00	8.4964588e-02	2.7355399e+00	8.6261064e-02
3.3321927e+00	7.1805432e-02	3.3321927e+00	7.3209070e-02
4.0429707e+00	6.1934218e-02	4.0429707e+00	6.3522674e-02
4.8650689e+00	5.4457009e-02	4.8650689e+00	5.6283921e-02
5.7952428e+00	4.7861308e-02	5.7952428e+00	4.9916387e-02
6.8298221e+00	3.8766582e-02	6.8298221e+00	4.0834505e-02
7.9647226e+00	3.1063046e-02	7.9647226e+00	3.3052973e-02
9.1954660e+00	8.1194773e-02	9.1954660e+00	8.9412495e-02
1.0517196e+01	1.6944364e-01	1.0517196e+01	1.8711543e-01
1.1924694e+01	2.5380173e-01	1.1924694e+01	2.8021172e-01
1.3412408e+01	2.6010388e-01	1.3412408e+01	2.8960258e-01
1.4974464e+01	2.7550307e-01	1.4974464e+01	2.9091936e-01
1.6604700e+01	2.7627760e-01	1.6604700e+01	2.8351232e-01
1.8296680e+01	2.6661491e-01	1.8296680e+01	2.7054647e-01
2.0043728e+01	2.5887462e-01	2.0043728e+01	2.6003325e-01
2.1838949e+01	2.5476912e-01	2.1838949e+01	2.5629699e-01
2.3675257e+01	2.5290972e-01	2.3675257e+01	2.5564882e-01
2.5545404e+01	2.5493300e-01	2.5545404e+01	2.6395467e-01
2.7442015e+01	2.6243755e-01	2.7442015e+01	2.7848461e-01
2.9357597e+01	2.6760790e-01	2.9357597e+01	2.8678876e-01
3.1284595e+01	2.7013806e-01	3.1284595e+01	2.9100725e-01
3.3215405e+01	2.7578112e-01	3.3215405e+01	3.0115491e-01
3.5142403e+01	2.8458127e-01	3.5142403e+01	3.1809726e-01
3.7057987e+01	2.9296634e-01	3.7057987e+01	3.3439422e-01
3.8954594e+01	2.9931509e-01	3.8954594e+01	3.4609565e-01
4.0824745e+01	3.0311024e-01	4.0824745e+01	3.5451889e-01
4.2661053e+01	2.9654282e-01	4.2661053e+01	3.4640583e-01
4.4456272e+01	2.8975368e-01	4.4456272e+01	3.3632252e-01
4.6203320e+01	2.9159805e-01	4.6203320e+01	3.4191191e-01
4.7895298e+01	2.9295754e-01	4.7895298e+01	3.4707552e-01
4.9525536e+01	2.9399043e-01	4.9525536e+01	3.5201183e-01
5.1087593e+01	2.9462844e-01	5.1087593e+01	3.5655501e-01
5.2575306e+01	2.9492834e-01	5.2575306e+01	3.6074203e-01
5.3982803e+01	2.9488140e-01	5.3982803e+01	3.6448210e-01
5.5304535e+01	2.9448479e-01	5.5304535e+01	3.6764243e-01
5.6535278e+01	2.9180011e-01	5.6535278e+01	3.6750171e-01
5.7670177e+01	2.8649750e-01	5.7670177e+01	3.6340448e-01
5.8704758e+01	2.7649781e-01	5.8704758e+01	3.5230145e-01
5.9634930e+01	2.5381172e-01	5.9634930e+01	3.2382646e-01
6.0457031e+01	2.2526692e-01	6.0457031e+01	2.8700230e-01
6.1167809e+01	2.0112032e-01	6.1167809e+01	2.5503305e-01
6.1764462e+01	1.7840724e-01	6.1764462e+01	2.2534642e-01
6.2244633e+01	1.5707278e-01	6.2244633e+01	1.9773334e-01
6.2606430e+01	1.4057152e-01	6.2606430e+01	1.7655642e-01
6.2848423e+01	1.2964407e-01	6.2848423e+01	1.6263098e-01
6.2969662e+01	1.2420717e-01	6.2969662e+01	1.5566461e-01
